,R^2 Score,MSE
Uni LinReg Age,0.08297569620075051,80.16281638955412
Uni LinReg Ratings,0.11658117073265173,77.22515217125184
Multi LinReg,0.1877385758429051,71.004839386762
Decision Tree,0.42799805617223396,50.00225905416269
Random Forest,0.6269450827184403,32.61105808577202
Random Forest CV,0.6571320855523742,29.97222380896823
Lasso Regression,0.5317238978414279,40.93493601143576
XGBoost,0.6618723511256908,29.557847617173554
XGBoost CV,0.7054424809184628,25.74911070564712
